transaction_id,price_paid,deed_date,day,month,year,postcode,post_sect,post_area,post_reg,property_type,new_build,estate_type,locality,town,local_authority,county
{2A289EA0-9F09-CDC8-E050-A8C063054829},80000,1998-01-30,30,1,1998,AL1 1LJ,AL1 1,AL1,AL,Terrace,N,F,,ST ALBANS,ST ALBANS,HERTFORDSHIRE
{6F41A201-390D-4D3D-8207-DDED0777BCEB},48750,1998-01-30,30,1,1998,AL1 1BH,AL1 1,AL1,AL,Flat,N,L,ST. ALBANS,ST. ALBANS,ST ALBANS,HERTFORDSHIRE
{FE67DAC9-D8B1-4DB0-B72B-1ECC24362AFD},87000,1998-02-03,3,2,1998,AL1 1UT,AL1 1,AL1,AL,Terrace,N,F,ST. ALBANS,ST. ALBANS,ST ALBANS,HERTFORDSHIRE
{DCA02398-4455-4D8D-A0EA-B660B49439BC},70000,1998-02-06,6,2,1998,AL1 1QW,AL1 1,AL1,AL,Flat,N,L,ST. ALBANS,ST. ALBANS,ST ALBANS,HERTFORDSHIRE
{00B045F1-A1D1-4EAE-93F4-FA64A2117539},110000,1998-02-09,9,2,1998,AL1 1RJ,AL1 1,AL1,AL,Terrace,N,F,ST. ALBANS,ST. ALBANS,ST ALBANS,HERTFORDSHIRE
{48BF8FCD-2500-45EC-9471-6D9F5A4BB73C},84000,1998-02-12,12,2,1998,AL1 1QA,AL1 1,AL1,AL,Flat,N,L,ST. ALBANS,ST. ALBANS,ST ALBANS,HERTFORDSHIRE
{621631A7-6161-4EF7-B022-458045402B13},66000,1998-02-12,12,2,1998,AL1 1SE,AL1 1,AL1,AL,Flat,N,L,ST. ALBANS,ST. ALBANS,ST ALBANS,HERTFORDSHIRE
{FDA60714-2F38-4497-AF0B-59C0A2262C74},137500,1998-02-12,12,2,1998,AL1 1PG,AL1 1,AL1,AL,Terrace,N,F,ST. ALBANS,ST. ALBANS,ST ALBANS,HERTFORDSHIRE
{CB1FCF30-E723-445A-840C-7BEC433FD12C},69500,1998-02-16,16,2,1998,AL1 1JS,AL1 1,AL1,AL,Flat,N,L,ST. ALBANS,ST. ALBANS,ST ALBANS,HERTFORDSHIRE
{71662346-FED1-4D99-8D59-28D0B213F224},129000,1998-02-19,19,2,1998,AL1 1QB,AL1 1,AL1,AL,Terrace,N,F,ST. ALBANS,ST. ALBANS,ST ALBANS,HERTFORDSHIRE
{1EFF8248-A15B-4F86-9F17-7D1EF42DF23B},87000,1998-02-20,20,2,1998,AL1 1QW,AL1 1,AL1,AL,Flat,N,L,ST. ALBANS,ST. ALBANS,ST ALBANS,HERTFORDSHIRE
{4D69268B-F5A0-4050-98CA-1FEB9812A7AB},125000,1998-02-23,23,2,1998,AL1 1UF,AL1 1,AL1,AL,Terrace,N,F,ST. ALBANS,ST. ALBANS,ST ALBANS,HERTFORDSHIRE
{A9518539-B15E-40ED-94C0-DE2990C9CB6E},446944,1998-02-27,27,2,1998,AL1 1TA,AL1 1,AL1,AL,Detached,N,F,ST. ALBANS,ST. ALBANS,ST ALBANS,HERTFORDSHIRE
{D7BF1287-C859-48F4-8D03-D6DC13B744F7},280000,1998-02-27,27,2,1998,AL1 1TF,AL1 1,AL1,AL,Detached,N,F,ST. ALBANS,ST. ALBANS,ST ALBANS,HERTFORDSHIRE
{0FDA0FE4-F47F-4416-808C-C6C3FFD4CE85},92000,1998-02-27,27,2,1998,AL1 1UU,AL1 1,AL1,AL,Terrace,N,F,ST. ALBANS,ST. ALBANS,ST ALBANS,HERTFORDSHIRE
